iso3,year,gdp,population,ruleoflaw,litigation,fillingdate,ghg,lnghg,lngdp,lngdp2,lnpopulation,lnlaw,HI,MI,UMI,litigation_lnlaw,EIT,EU,ncl,ncllitig,kyoto,country,eps,eps_mk,eps_nm,eps_ts,_merge,id,eu,_Iyear_1991,_Iyear_1992,_Iyear_1993,_Iyear_1994,_Iyear_1995,_Iyear_1996,_Iyear_1997,_Iyear_1998,_Iyear_1999,_Iyear_2000,_Iyear_2001,_Iyear_2002,_Iyear_2003,_Iyear_2004,_Iyear_2005,_Iyear_2006,_Iyear_2007,_Iyear_2008,_Iyear_2009,_Iyear_2010,_Iyear_2011,_Iyear_2012,_Iyear_2013,_Iyear_2014,_Iyear_2015,_Iyear_2016,_Iyear_2017,_Iyear_2018
"AUS",1990,31016.415,17065100,,0,0,5.038e+08,20.03773,10.34227,106.9626,16.65255,,1,0,0,,1,0,1,0,0,"Australia",.16666667,0,0,.5,"Matched (3)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",1991,30502.606,17284000,,0,0,5.037e+08,20.03757,10.32557,106.6173,16.66529,,1,0,0,,1,0,1,0,0,"Australia",.16666667,0,0,.5,"Matched (3)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",1992,30259.418,17495000,,0,0,5.059e+08,20.04187,10.31756,106.4521,16.67743,,1,0,0,,1,0,1,0,0,"Australia",.16666667,0,0,.5,"Matched (3)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",1993,31173.474,17667000,,0,0,5.056e+08,20.04124,10.34732,107.0671,16.68721,,1,0,0,,1,0,1,0,0,"Australia",.16666667,0,0,.5,"Matched (3)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",1994,32073.027,17855000,,0,0,5.087e+08,20.04731,10.37577,107.6566,16.69779,,1,0,0,,1,0,1,0,0,"Australia",.16666667,0,0,.5,"Matched (3)",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",1995,32902.77,18072000,,0,0,5.168e+08,20.06309,10.40131,108.1873,16.70988,,1,0,0,,1,0,1,0,0,"Australia",.16666667,0,0,.5,"Matched (3)",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",1996,33724.972,18311000,96.48241,0,0,5.145e+08,20.05874,10.42599,108.7013,16.72301,4.569361,1,0,0,0,1,0,1,0,0,"Australia",.16666667,0,0,.5,"Matched (3)",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",1997,34653.191,18517000,,0,0,5.227e+08,20.07459,10.45315,109.2682,16.7342,,1,0,0,,1,0,1,0,0,"Australia",.16666667,0,0,.5,"Matched (3)",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",1998,35876.223,18711000,96.5,0,0,5.506e+08,20.12646,10.48783,109.9946,16.74462,4.569543,1,0,0,0,1,0,1,0,0,"Australia",.5,0,1,.5,"Matched (3)",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",1999,37219.641,18926000,,0,0,5.836e+08,20.18474,10.52459,110.767,16.75605,,1,0,0,,1,0,1,0,0,"Australia",.5,0,1,.5,"Matched (3)",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",2000,38217.449,19153000,95.04951,0,0,6.082e+08,20.22603,10.55105,111.3246,16.76797,4.554398,1,0,0,0,1,0,1,0,0,"Australia",.83333331,1,1,.5,"Matched (3)",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",2001,38474.153,19413000,,0,0,6.341e+08,20.26772,10.55774,111.4659,16.78145,,1,0,0,,1,0,1,0,0,"Australia",.8888889,1.1666666,1,.5,"Matched (3)",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",2002,39533.223,19651400,95.54456,0,0,6.271e+08,20.25658,10.5849,112.04,16.79366,4.559593,1,0,0,0,1,0,1,0,0,"Australia",1.1388888,1.1666666,1.75,.5,"Matched (3)",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",2003,40262.914,19895400,96.0396,0,0,5.467e+08,20.11943,10.60319,112.4275,16.806,4.564761,1,0,0,0,1,0,1,0,0,"Australia",1.1388888,1.1666666,1.75,.5,"Matched (3)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",2004,41472.539,20127400,95.69378,0,0,6.054e+08,20.22137,10.63279,113.0562,16.81759,4.561153,1,0,0,0,1,0,1,0,0,"Australia",1.4722222,1.1666666,1.75,1.5,"Matched (3)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",2005,42222.273,20394800,95.21531,0,0,5.684e+08,20.1583,10.6507,113.4375,16.83079,4.556141,1,0,0,0,1,0,1,0,0,"Australia",1.8055556,1.1666666,3.25,1,"Matched (3)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",2006,42738.466,20697900,94.25837,0,0,6.117e+08,20.23175,10.66285,113.6965,16.84554,4.54604,1,0,0,0,1,0,1,0,0,"Australia",2.2222223,1.1666666,4.5,1,"Matched (3)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AUS",2007,44072.884,20827600,94.25837,0,0,6.150e+08,20.23712,10.6936,114.3531,16.85179,4.54604,1,0,0,0,1,0,1,0,0,"Australia",2.2222223,1.1666666,4.5,1,"Matched (3)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
